institution_name,study_period_start_date,credential,program_length, total_estimated_cost ,student_status,Comments,program_length_type
Thompson Rivers University,2021-09-01,Bachelor of Science,4,20000,,,
Justice Insitute of British Columbia,2021-11-22,Emergency Medical Responder,1,1752,,,
Nicola Valley Institute of Technology,2021-09-08,Indigenous Holistic Wellness & Addictions Certificate,1,3599,,,
Vancouver Community College,1770-07-07,,,,,,
Native Education College,2021-09-27,Indigneous Early Childhood Educaiton Certificate,1,5983, Attending , 1st year ,
Selkirk College,2021-08-30,Office Technology with Bookkeeping,1,4096,,,
Camosun College,2021-09-01,Associate of Arts,2,12000, Attending ,,
Okanagan College,2022-01-04,Welder Foundation,1,4360,,,
Justice Insitute of British Columbia,2021-11-22,Emergency Medical Responder,1,1751,,,
Camosun College,2021-09-07,Indigenous Studies Diploma,2,7935,,,
Vancouver Community College,2019-01-01,,,,,,
Vancouver Community College,2019-11-07,Esthetics Program,,,,,
Douglas College,2022-01-04,General Studies  Diploma,2,12308,,,
Vancouver Island University,2022-02-28,Health Care Assistant,1,4127,,,
Kwantlen Polytechnic University,2022-01-05,Bachelor of Arts,4,33348,, Student indicates band will sponsor. Does not want to access TWP at this time.  ,
Vancouver Island University,2021-09-07,Esthetics and Spa Therapy,1,14412,,,
Douglas College,2022-01-03,Academic Foundations Certificate,1,1797,,,
Thompson Rivers University,2022-11-01,Plumbing Apprentice Level 1,1,902,,,
Selkirk College,2022-01-31,Carpentry Foundations Certificate,1,3111,,,
Vancouver Community College,2021-05-01,University Transfer,,1500,,,
Vancouver Community College,2021-07-01,Continuing Studies,1,5000,,,
Vancouver Island University,2022-09-06,Bachelor of Education,5,32397,, Eligible Sept '22 ,
University of the Fraser Valley,2021-09-13,Bachelor of Arts,4,22430,,,
Vancouver Island University,2022-01-01,Bachelor of Science,4,28172,,,
Thompson Rivers University,2021-12-01,Bachelor of Arts,4,20000,,,
BCIT,2022-01-04,Broadcast and Digital Journalism Assoicate Certificate,1,5000, Hiatus ,,
University of the Fraser Valley,2022-01-17,Welding B Certificate,1,5700,,,
Justice Insitute of British Columbia,2021-11-22,Basic Security Training & Assessment,1,373, Completed  ,,
Justice Institute of British Columbia,2022-06-13,Geming Security Officer,1,456.63,,,
North Island College,2022-01-01,University Studies,2,7350,,,
Okanagan College,2021-11-05,Occupational Fist Aid III,1,880,,,
Emily Carr University of Art & Design,2022-01-04,Illustration Certificate,1,6500,,,
Vancouver Community College,2022-01-01,Esthetics,1,12648,,,
BCIT,2022-01-01,Grant and Proposal Writing,1,518,,,
Vancouver Island University,2022-09-06,Heavy Duty Mechanic Certificate,1,7188,,,
Capilano University,2022-09-06,Bachelor of Science,3,20000,, Eligible Winter '22 forward ,
Camosun College,2022-01-04,Electrical Level 2,1,1500,,,
Vancouver Community College,2022-02-01,Asian Culinary Certificate,1,2408,,,
Camosun College,2022-09-01,"Community, Family & Child Studies Diploma",2,7100,, Preivously in upgrading ,
Camosun College,2022-01-10,Associate of Arts,2,15500,,,
Camosun College,2022-01-10,Carpentry Level 1,1,875,,,
Douglas College,2022-01-04,Computing Science Certificate,1,3814,,,
Vancouver Community College,2021-05-01,Esthetics & Spa Training,1,12928,,,
Vancouver Community College,2021-09-07,Esthetics & Spa Training,1,12468,,,
University of British Columbia,2021-09-07,Bachelor of Education,1,13347,,,
Vancouver Island University,2022-09-06,Heavy Mechanical Trades,1,7060,, Eligible Winter '24 ,
Langara College,2020-09-01,Bachelor of Science ,5,25360,, effective Winter 2022 ,
North Island College,2022-01-01,Social Service Diploma,2,5000,,,
BCIT,2022-01-01,Global Trade and Transportation Management,2,13374,,,
Douglas College,2021-09-07,Associate of Science ,2,12808,,,
Vancouver Community College,2022-01-01,Nail Tech,1,5950,,,
Okanagan College,2021-09-07,Associate of Arts,2,9644,,,
Kwantlen Polytechnic University,2022-01-05,Bachleor of Arts,4,33348,, Eligible Spring 2022 ,
Douglas College,2022-01-04,General Studeis Diploma,2,8524,,,
Douglas College,2022-01-04,General Business Diploma,2,7188,,,
Douglas College,2022-01-04,Associate of Arts,2,7635,,,
Camosun College,2022-01-10,Bachelor of Business Administration,2,14000,,,
Vancouver Community College,2022-01-10,Hair Design,1,8500,,,
Vancouver Island University,2022-01-04,Bachelor of Arts,4,28176,,,
Langara College,2022-01-06,Associate of Arts,2,12017,,,
Douglas College,2022-01-04,General Studies Diploma,2,7688,,,
Vancouver Community College,2022-05-01,Auto Tech Services,1,5500,,,
Thompson Rivers University,2022-01-31,Heavy Duty Mechanics,1,4941,,,
Vancouver Community College,2022-05-01,Auto Service Technician Foundations,1,5500,,,
Camosun College,1770-07-07,Arts and Science Diploma,2,19500,,,
Douglas College,2022-01-04,General studies Diploma,2,12503,,,
Nicola Valley Institute of Technology,2018-09-04,Plumbing/Piping,1,4579.93, Attending ,,
Thompson Rivers University,2022-01-04,Diploma General Study,2,10000,,,
College of the Rockies,1770-07-07,,,,,,
Vancouver Community College,1770-07-07,,,,,,
University of the Fraser Valley,2022-09-16,Veterinary Admin Certificate,1,7650,,Approved on Appeal,
Okanagan College,2022-09-07,Bachelor of Science,2,13439,,,
University of British Columbia,2022-09-07,Bachelor of Arts,4,22500,,,
Douglas College,2022-01-04,General Studies Diploma,2,12305,,,
Simon Fraser University,2022-09-07,BA Sociology,4,27904,,Transferred from Douglas,
Vancouver Island University,2022-09-06,Bachelor of Social Work,4,15557,,,
Vancouver Island University,2020-05-13,Bachelor of Science in Nursing,4,33655,,,
Vancouver Island University,2021-03-01,Power Engineering,1,12222,,,
Vancouver Island University,2021-01-07,Bachelor of Arts,4,27800,,,
Okanagan College,2022-09-07,Associate of Arts,2,9644,,,
Vancouver Island University,2021-09-07,Bachelor of Science in Nursing,4,33662,,,
Vancouver Island University,2022-09-06,Bachelor of Science in Nursing,4,34195,,,
University of the Fraser Valley,2022-05-02,BA,4,22430,,,
Emily Carr University of Art & Design,2022-09-06,Bachelor of Fine Arts,4,23500,,,
Vancouver Community College,2022-09-01,Administrative Professional,1,5996,,,
Vancouver Island University,2022-09-06,Practical Nursing,2,22851,,No record of time in care,
Vancouver Island University,2022-09-02,Dental Hygiene,2,34144,,,
Okanagan College,2022-09-06,Welder Foundation Certificate,1,4360,,,
Kwantlen Polytechnic University,2022-09-06,Bachelor of Arts/Crim,4,33348,,,
Douglas College,2022-05-01,Arts-Associate Degree,2,13001.48,,,
Selkirk College,2022-09-07,Welder Foundation Certificate,1,3681,,,
University of the Fraser Valley,2022-03-07,Plumbing Pipe Certificate,6,4087,,,month
Vancouver Island University,2022-09-06,Bachelor of Science,4,28580,,,
University of British Columbia,2022-09-06,Bachelor of Arts,4,29000,,Transfer,
Vancouver Island University,2022-09-06,Bachelor of Science,4,28580,,Private School-Denied,
Kwantlen Polytechnic University,2022-09-06,Bachelor of Arts,4,33348,,,
Vancouver Island University,2022-02-07,Hairdressing Foundation Certificate,1,8700,, Time in care 668 days ,
Vancouver Island University,2021-01-01,Child and Youth Care,4,29000,,,
Kwantlen Polytechnic University,2022-09-06,Horticulture and Science Undeclared,4,33348,,,
Vancouver Island University,2021-01-26,Culinary Arts Certificate Program,2,7777,,,
Vancouver Island University,2019-09-03,Bachelor of Visual Arts,4,18536.48,, We have no record of PTWP approval for this student ,
Kwantlen Polytechnic University,2022-09-06,Business,4,33348,,,
Kwantlen Polytechnic University,2022-09-06,Farrier Science Certificate,9,12430,,,month
Camosun College,2022-09-01,Interprofessional Mental Halth & Addictions,2,6500,,,
Capilano University,2022-09-01,Early Childhood Care Diploma,2,12675,,,
North Island College,2022-02-01,Electrical Foundation,2,5500,,,
Thompson Rivers University,1770-07-07,Bachelor of Science,4,22168,,,
Capilano University,1770-07-07,Legal Assistant,1,6199.46,,,
Thompson Rivers University,2022-01-10,Bachelor of Arts,4,21960,,,
Vancouver Island University,2022-09-06,Bachelor of Science in Nursing,4,34732,,,
Simon Fraser University,2022-09-07,Bachelor of Science (Biomedical Physiology),4,28338,,,
Vancouver Island University,2022-09-06,Bachelor of Social Work,4,31096,,,
Vancouver Island University,2021-09-07,Theatre Diploma,2,11960,,,
Douglas College,2022-09-06,Youth Justice Diploma,2,11304,,,
Vancouver Island University,2021-09-01,Bachelor of Science,4,27800,,,
Kwantlen Polytechnic University,2022-09-06,Bachelor of Arts,4,33348,,,
Kwantlen Polytechnic University,2022-09-06,Bachelor of Arts,4,33348,,,
BCIT,1770-07-07,Piping Foundation,0.5,4534,,,
Capilano University,1770-07-07,Bachelor of legal studies,4,27379,,,
,1770-07-07,BA,,28140,, Concordia funding approved-Carla ,
Vancouver Island University,2020-09-08,Bachelor of Arts,4,28120,,,
Vancouver Island University,2020-09-07,Exploratory Studies,4,28120,,,
Northern Lights College,2022-09-06,Cosmetology,1,4747,,,
University of the Fraser Valley,2022-05-02,Bachelor of Arts,4,22430,,,
Douglas College,2022-05-16,Criminology Diploma,0.25,2828,,,
North Island College,2022-01-01,Early,2,5000,,,
Justice Institute of British Columbia,2022-03-28,Primary Care Paramedic Program,0.75,5068.17,,,
Capilano University,2022-05-01,Assoicate of Arts,2,11569.54,,,
Okanagan College,2022-09-07,Admin Assistant,1,5054,,,
Douglas College,2022-03-04,Vet Office Animal Care Certificate,0.5,6138,,,
Vancouver Island University,2022-09-06,Bachelor of Arts,4,28580,,,
Vancouver Island University,2022-01-10,Hospital Unit Coordinator Program,1,5745,,,
Emily Carr University of Art & Design,2022-09-06,Bachelor of Fine Arts,4,23500,,,
University of Victoria,2022-09-01,BSC Comupter Science,4,27146,,,
BCIT,2022-04-01,Medical Office Assistant,1,6700,,,
Camosun College,2022-05-01,University Transfer,2,22000,,,
Thompson Rivers University,2022-09-07,Bachelor of Arts,4,21960,,,
Langara College,2022-09-06,Associate of Arts in Psychology,2,12020.17,,,
North Island College,2023-01-01,Electrical Foundation Certificate,1,5000,,,
University of Northen BC,2022-09-07,Bachelor of Social Work,4,20310,,,
Vancouver Island University,2022-09-05,Marine Motorcycle Technician,1,6145,,,
Vancouver Island University,2022-01-03,Heavy Equipment Operator Program,1,18365,,,
North Island College,2022-01-10,University Transfer,2,10500,,,
Langara College,2021-09-01,Design Foundation Diploma,2,21109,,,
Camosun College,2010-01-22,Associate of Arts Degree,2,14200,,,
Douglas College,2022-09-05,Gen Business Cert,1,3005,,,
Kwantlen Polytechnic University,2022-09-06,BA-Criminology,4,33348,,,
Okanagan College,2022-09-07,Educational Assistant,1,4286,,,
Douglas College,2022-03-09,Child & Youth care,1,1796.97,,,
University of Victoria,2022-09-01,Bach child & youth care,4,27146,,,
BCIT,2022-03-01,BC Parks Law,1,3175,,,
University of the Fraser Valley,2022-05-02,Social Service Worker,2,11687,,,
Vancouver Island University,2022-09-07,Dental Assistant Cert,1,4704,,,
Northern Lights College,2022-01-14,ECEC2,2,1981.52,,,
Vancouver Island University,2022-09-07,Bachelor of Education,4,31798,,,
Okanagan College,2022-09-06,Automotive Service Tech,1,5070,,,
BCIT,2022-03-01,Technical Writing Cert,1,4400,,,
University of the Fraser Valley,2022-01-10,Qualifying Studies,,8313,,,
Kwantlen Polytechnic University,2022-08-16,Carpentry/ Builiding Construction Citation,0.5,3797,,,
Vancouver Island University,2021-09-07,Bachelor of Arts,4,27800,,,
Vancouver Island University,2021-09-01,Bachelor of Social Work,4,16985,,,
Vancouver Community College,2022-09-01,HCA Program,1,3800, Never Attended ,,
Thompson Rivers University,2022-01-10,Bachelor of Computing Sceince,4,21352,,,
Vancouver Island University,2021-08-13,Baking and Pastry Arts Management Diploma,2,14730,,,
Vancouver Island University,2021-09-01,Bachelor of Education,4,32382,,,
Vancouver Island University,2021-09-07,Welding,1,8600,,,
University of Victoria,2022-01-10,BA Psychology,4,27146,,,
Selkirk College,2021-09-07,Music and Technology,2,10541.17,,,
Northern Lights College,2022-01-04,Education Assistant Cert. ,1,6906.9,,,
Langara College,2022-09-01,Diploma in General Education,2,12016.17,,,
Capilano University,1770-07-07,Interdisciplinary Study,4,24206,,,
Vancouver Island University,2020-05-01,Indigenous Land Management Certificate,1,,,,
Kwantlen Polytechnic University,2022-09-06,Bachelor of Arts,4,33348,,,
Thompson Rivers University,2022-07-11,Residential Construction,1,4118,,,
Vancouver Island University,2020-09-01,Resource Management Officer Technology Diploma,2,20200,,,
Camosun College,2022-05-05,Associate of Arts,2,22000,,,
Vancouver Island University,2022-09-06,Bachelor of Arts,4,28172,,,
Vancouver Island University,2021-09-07,Dental Hygiene Diploma,2,34143,,,
BCIT,2022-04-01,Human Resource Management ,1,8000,,,
College of New Caledonia,2022-09-06,Social Service Worker,2,8600,,,
University of the Fraser Valley,2022-09-06,BA Criminal Justice,4,22429.96,,,
Justice Institute of British Columbia,2022-07-18,Primary Care Paramedic Program,1,5093,,,
University of Northen BC,2022-09-07,Social Work,3,20772,,,
Native Education College,2022-09-06,Family & Community Counselling Diploma,1,6595,,No time in care per mcfd/sdpr,
Vancouver Island University,2022-09-07,Welding Foundation & Fitter,1,8620,,,
Douglas College,2022-05-09,Child and Youth Care,1,5656.75,,,
University of British Columbia,2021-09-05,Bachelor of Arts,4,11000,,,
Vancouver Island University,2019-09-03,Heavy Mechanical Trades Foundation,,,,,
Thompson Rivers University,2022-09-05,Bachelor of Science,4,22168,,,
Douglas College,2022-09-05,General Studies Diploma,2,8882,,,
Thompson Rivers University,2022-09-05,Bachelor of Arts,4,21960,,,
Vancouver Island University,2020-02-01,Heavy Equipment Operator Certificate,,16820,,,
Vancouver Island University,2019-09-16,Carpentry Apprentice Level 2,,827,,,
University of British Columbia,2021-09-06,Bachelor of Arts,4,22500,,,
Vancouver Island University,2019-09-01,,,340,,,
Selkirk College,2022-09-06,Associate of Arts Diploma,2,6735.75,,,
Thompson Rivers University,2022-09-05,Bachelor of Arts,4,21960,,,
Douglas College,2022-01-04,General Studies,1,1796.97,,,
Vancouver Community College,2022-05-01,Professional Cook Plus 1,1,5044,,,
BCIT,2022-10-01,Welder Foundation Certificate,1,5047,,,
Vancouver Community College,2022-05-01,Nail Techncian,1,5930,,,
Vancouver Community College,2022-03-01,Hair Design,1,8454,,,
Vancouver Island University,2022-09-06,Esthetics & Spa Therapy  Certificate,1,14037,,,
Kwantlen Polytechnic University,2022-09-06,BA-Psychology,4,33348,,,
BCIT,2022-06-27,Heavy Mechanical Trades Foundation,1,6092,,,
College of the Rockies,2022-09-06,Health Care Assistant,1,2648.22,,,
Camosun College,2022-09-06,Associate of Arts Degree,2,22000,,,
Langara College,2022-05-09,Diplom General Education (Arts),2,12016.7,,,
Vancouver Island University,2022-09-06,Bachelor of Science,4,28580,,,
North Island College,2022-05-10,Marine Training,1,1000,,,
Camosun College,2022-09-06,University Transfer,2,13600,,No file MCFD and SDPR,
BCIT,2022-05-01,Automative Technician,1,5532.2,,,
Native Education College,2022-09-06,Family & Community Counselling Diploma,2,13190,,,
Vancouver Island University,2022-08-01,Heavy Equipment Operator Program,1,18616,,,
Vancouver Community College,2022-09-06,Practical Nursing,2,17600,,Didn't meet time in care (318 days)-Appeal with Carla,
Selkirk College,2022-09-06,Associate of Arts Diploma,2,10483,,Switched program,
Vancouver Island University,2021-11-11,Electrician Program,1,4803,, Not yet eligible but may meet TIC later. Advised to reapply closer to 19 year of age. ,
Vancouver Island University,2019-09-03,Health care Assistant,,3197,,,
Douglas College,2022-01-04,General Studies,2,11308,,,
Vancouver Island University,2019-09-01,Bachelor of Science,4,25000, Attending , We have no record of PTWP approval for this student ,
Vancouver Community College,1770-07-07,General Studies,1,9000,, Approved when 19 ,
Camosun College,2022-09-06,Education Assistant & Community Support,1,5075,,,
College of New Caledonia,2022-09-09,Practical Nurse Program,2,13686,,,
Emily Carr University of Art & Design,2021-09-07,BFA,4,23500,,,
Kwantlen Polytechnic University,2022-09-06,Science and Horiculture,4,33348,,,
Vancouver Community College,1770-07-07,Civil Structure Architecture,,,,,
Okanagan College,2019-09-03,Commercial Aviation Diploma,2,, Completed  , Completed all academics. Flight lab incomplete. No grad. ,
Camosun College,2018-09-04,Medical Laboratory Assistant ,1,, Hiatus , Last attended 04/19 ,
Vancouver Community College,1770-07-07,Practical Nursing,,,,,
Langara College,2017-09-05,Associate of Arts: Peace and Conflict Studies,2,9031, Hiatus ,,
Thompson Rivers University,2020-12-15,Open Learning ,,, Hiatus ,,
University of the Fraser Valley,1770-07-07,Welding Level C,1,, Completed  ,,
Thompson Rivers University,1770-07-07,Undeclared,,, Hiatus ,,
Justice Insitute of British Columbia,2018-09-06,Law Enforcement Studies Diploma,2,12000, Completed  , Graduated from LESD June 2020 ,
Langara College,1770-07-07,Associate of Science in Computer Science,,, Hiatus ,,
University of Victoria,1770-07-07,Bachelor of Social Work,4,, Completed  ,,
College of the Rockies,1770-07-07,Dental Assistant,,, Completed  ,,
Thompson Rivers University,1770-07-07,Bachelor of Arts,,, Hiatus ,,
College of the Rockies,1770-07-07,Early Childhood Education ,,, Hiatus ,,
Douglas College,2019-09-01,Early Childhood Ed,2,12000, Hiatus ,,
Justice Insitute of British Columbia,1770-07-07,Emergency Medical Responder & Primary Care Paramedic,1,1752, Attending ,,
University of the Fraser Valley,1770-07-07,Criminal Justice Diploma,,, Completed  ,,
Simon Fraser University,1770-07-07,Human Resources Management,,,,,
Vancouver Community College,1770-07-07,Interior Design,,,,,
Vancouver Island University,2020-01-01,Horticulture Technician Foundation,,5386,,,
Vancouver Island University,2020-02-01,Welder Foundation,39,6976,,,week
University of Northen BC,2018-04-09,Wildlife Conservation,4,24565, Attending ,,
Douglas College,2018-09-01,Bachelor of Arts in Child and Youth Care,4,24000, Hiatus ,,
Northern Lights College,1770-07-07,Early Childhood Education,,, Hiatus , Withdrew ,
Thompson Rivers University,1770-07-07,Early Childhood Education,,,,,
Camosun College,2018-09-04,Legal Office Assistant ,1,, Hiatus , Last attended 08/19 ,
Douglas College,2020-09-01,Diploma in General Studies,2,12000, Hiatus ,,
University of Victoria,1770-07-07,,,, Never Attended ,,
Okanagan College,1770-07-07,Pastry Arts,,, Completed  ,,
Vancouver Community College,2017-09-07,Fashion Marketing & Design,2,22000, Completed  ,,
Douglas College,2019-09-01,Associate of Arts,2,12000, Hiatus ,,
Vancouver Island University,2018-01-01,,,,,,
College of the Rockies,2022-01-01,Social Worker Pre-Major,2,, Hiatus ,,
Thompson Rivers University,1770-07-07,Welding,,, Completed  ,,
Vancouver Island University,2018-09-01,,,,,,
Camosun College,1770-07-07,Criminal Justice,,, Hiatus ,,
Vancouver Island University,1770-07-07,,,,,,
Camosun College,2018-09-04,"Digital Production, Writing & Design",1,, Hiatus , Last attended 12/19 ,
Okanagan College,1770-07-07,Associate of Arts,,,,,
Langara College,1770-07-07,Associate of Arts ,,, Hiatus ,,
Camosun College,2018-09-04,University Transfer,2,, Hiatus , Last attended 12/19 ,
Douglas College,2020-09-01,Academic Foundations,1,6000, Hiatus ,,
Thompson Rivers University,2018-04-30,Bachelor of Social Work,4,24100, Attending ,,
Okanagan College,1770-07-07,Esthetics and Nail Certificate,,, Completed  ,,
Thompson Rivers University,1770-07-07,Undeclared,,,,,
Vancouver Island University,2018-09-01,,,,,,
Vancouver Community College,1770-07-07,Professional Cook 2,1,2400, Completed  ,,
Thompson Rivers University,1770-07-07,Human Services,,,,,
University of Victoria,1770-07-07,Bachelor of Child and Youth Care,,,,,
University of Northen BC,2017-09-04,Finance,4,23979, Attending ,,
Vancouver Island University,2018-09-01,,,,,,
Capilano University,1770-07-07,2D Animation and Visual Arts,,, Hiatus ,,
Vancouver Island University,2018-09-01,,,,,,
Vancouver Community College,1770-07-07,ECCE,,, Never Attended ,,
Camosun College,2018-05-07,University Transfer,2,, Completed  ,,
Vancouver Island University,2019-01-21,,,,,,
University of Victoria,2021-09-01,,,, Attending ,,
Okanagan College,2015-09-04,Bachelor of Business Admin ,4,22460, Completed  ,,
Thompson Rivers University,1770-07-07,Professional Cook,,,,,
Emily Carr University of Art & Design,1770-07-07,CS Illustration certificate,,, Hiatus ,,
Vancouver Island University,2018-09-04,,,,,,
Thompson Rivers University,1770-07-07,Bachelor of Fine Arts,,,,,
Thompson Rivers University,1770-07-07,Police and Justice Studies,,,,,
Thompson Rivers University,1770-07-07,Bachelor of Computing Science,,,,,
Vancouver Island University,2019-01-01,,,,,,
Thompson Rivers University,1770-07-07,Bachelor of Arts,,,,,
Thompson Rivers University,1770-07-07,Bachelor of Science in Nursing,,, Completed  ,,
Vancouver Island University,2019-09-01,,,,,,
University of Victoria,1770-07-07,Bachelor of Arts,,, Attending ,,
Okanagan College,2019-02-03,,,, Never Attended ,,
Nicola Valley Institute of Technology,1770-07-07,Environmental Resource Technology,,, Hiatus ,,
University of Victoria,1770-07-07,Bachelor of Fine Arts,,,,,
Vancouver Island University,2019-09-04,,,,,,
Langara College,1770-07-07,CS Digital Music Production,,, Hiatus ,,
Camosun College,2020-09-08,College Preparatory,,, Attending  ,,
Thompson Rivers University,2018-01-01,Bachelor of Arts,4,24100, Attending ,,
University of Victoria,1770-07-07,Bachelor of Arts,,, Attending ,,
Okanagan College,2016-09-03,Bachelor of Business Administration,4,22456, Attending ,,
College of New Caledonia,1770-07-07,Social Service Worker,,, Completed  ,,
Okanagan College,2018-05-07,Associate of Arts,2,8934, Hiatus ,,
Okanagan College,1770-07-07,Human Service Worker,,,,,
University of Victoria,1770-07-07,Bachelor of Science,,, Attending ,,
Camosun College,1770-07-07,University Transfer,,, Hiatus ,,
Vancouver Island University,2017-01-04,Exploratory Studies,4,25000, Hiatus , Est. cost assumes move to degree program; last attended Jan 2017 ,
Okanagan College,1770-07-07,Associate of Arts,,,,,
North Island College,2022-11-17,Health Care Assistant,,,,,
University of the Fraser Valley,2018-09-05,Bachelor of Social Work,4,23765, Attending ,,
Okanagan College,2018-09-05,Water Engineering Tech Diploma,2,11995, Completed  ,,
Native Education College,1770-07-07,Health Care Assistant,,, Hiatus ,,
Thompson Rivers University,1770-07-07,Undeclared,,,,,
Vancouver Island University,2019-09-01,,,,,,
Vancouver Island University,2019-01-01,,,,,,
Vancouver Island University,2020-01-01,Bachelor of Education,1,3380,,,
Thompson Rivers University,1770-07-07,Bachelor of Arts,,,,,
Vancouver Island University,2018-09-04,,,,,,
Vancouver Island University,2020-05-01,Bachelor of Business Administration,4,26320,,,
Okanagan College,1770-07-07,Welder Foundation,,, Completed  ,,
Capilano University,1770-07-07,University One for Aboriginal Learners Certificate,,,,,
Vancouver Island University,2018-09-01,,,,,,
Thompson Rivers University,1770-07-07,Health Care Assistant,,,,,
BCIT,1770-07-07,Bachelor of Arts,,, Never Attended ,,
Vancouver Island University,2019-01-01,,,,,,
Kwantlen Polytechnic University,1770-07-07,Science & Horticulture,,, Hiatus ,,
University of the Fraser Valley,1770-07-07,Qualifying Studies,,,,,
Vancouver Island University,2022-03-21,Heavy Mechanical Trades,1,987,,,
University of the Fraser Valley,1770-07-07,Bookkeeping for Smal Business Certificate,,,,,
Vancouver Island University,2018-09-01,,,,,,
BCIT,1770-07-07,Arts,,, Never Attended ,,
Kwantlen Polytechnic University,1770-07-07,Arts,,, Hiatus ,,
North Island College,1770-07-07,University Studies,,, Attending ,,
Thompson Rivers University,2018-09-01,Bachelor of Computing Science,4,24100, Attending ,,
University of Victoria,1770-07-07,Bachelor of Education,,,,,
Vancouver Island University,2018-01-19,Professional Cook 1 & 2,1,5000, Attending , Returned April 2021 to retry program; previously withdrawn from program ,
Vancouver Community College,1770-07-07,Esthetics,1,13500, Completed  ,,
Okanagan College,2017-09-05,Associate of Arts,2,8934, Completed  ,,
Capilano University,2021-09-07,General Studies Fiploma,2,13460.02, Hiatus ,,
Douglas College,2018-09-08,Stagecraft and Event Tech,2,12000, Hiatus ,,
Camosun College,1770-07-07,Electrical Apprenticeship,0.5,3750,,,
Langara College,2018-09-05,Diploma Arts in Science,2,9211, Hiatus ,,
University of the Fraser Valley,2018-09-01,Social Services,,14272, Attending ,,
Thompson Rivers University,1770-07-07,Bachelor of Arts,,,,,
Kwantlen Polytechnic University,1770-07-07,Automotive Service Technician,,, Completed  ,,
Thompson Rivers University,1770-07-07,Bachelor of Arts,,,,,
Thompson Rivers University,2018-01-01,Bachelor of Social Work,4,24000, Hiatus ,,
University of the Fraser Valley,1770-07-07,,,,, No record of approved TWP ,
University of Victoria,1770-07-07,Bachelor of Fine Arts,,, Completed  ,,
Capilano University,1770-07-07,Bachelor of Music,4,42852.31, Attending ,,
University of Victoria,1770-07-07,Bachelor of Social Work,,, Completed  ,,
Langara College,1770-07-07,Associate of Arts Psychology,,, Hiatus ,,
Camosun College,2018-01-08,Associate of Arts Degree,2,, Completed  ,,
Camosun College,2018-05-07,University Transfer,2,, Hiatus , Last attended 11-19 ,
Vancouver Community College,2019-01-01,Hairstylist Foundtion Certificate,1,9500, Hiatus , Withdrew ,
Camosun College,2019-09-03,University Transfer,2,, Attending ,,
Thompson Rivers University,2018-01-01,Bachelor of Natural Resource Science,4,24100, Attending ,,
Vancouver Island University,1770-07-07,Bachelor of Arts in Child in Youth Care,,, Completed  ,,
Justice Institute of British Columbia,2022-03-28,Primary Care Paramedic Program,1,4993,,,
Camosun College,2018-09-04,Legal Office Assistant ,1,, Hiatus , Last attended 04/20 ,
Vancouver Island University,1770-07-07,Fundamentals of Forest Harvesting Practices,,, Completed  ,,
BCIT,2022-04-11,Electrical Foundation,1,4333,,,
Native Education College,1770-07-07,Early Childhood Education,,, Hiatus ,,
Vancouver Island University,1770-07-07,Bachelor of Arts,,, Completed  ,,
University of the Fraser Valley,1770-07-07,Welding B Certificate,,, Completed  ,,
BCIT,1770-07-07,Arts,,, Never Attended ,,
Kwantlen Polytechnic University,1770-07-07,Arts,,, Hiatus ,,
Camosun College,2022-09-06,Community Fam and Child Sudies,2,8000,, Over age limit (27) ,
Thompson Rivers University,1770-07-07,Bachelor of Science,,,,,
Vancouver Island University,2022-11-01,Bachelor of Social Work,4,15557,,,
University of Northen BC,1770-07-07,Occupational Health & Safety Certificate ,,, Completed  ,,
Okanagan College,2020-01-01,,,,, Not currently a student; No applications on file ,
Simon Fraser University,1770-07-07,Human Resources Management,,, Attending , SFU Continuing Studies ,
Okanagan College,2022-09-07,Writing and Publishing Diploma,2,10032,,,
Kwantlen Polytechnic University,2022-09-06,BSC-Health Sciences,4,33348,,,
University of British Columbia,2021-04-27,Foundations in Software,1,5950, Completed  ,,
University of the Fraser Valley,2022-05-02,Bachelor of Social Work,4,22430.16,,,
Vancouver Island University,1770-07-07,Bachelor of Interior Design,,, Completed  ,,
Vancouver Island University,1770-07-07,Animal Care Aide,,, Completed  ,,
Okanagan College,2022-09-06,Writing & Publishing Diploma,2,10032,,,
Okanagan College,2018-01-03,Associate of Arts,2,8934, Hiatus , Last attended Aug '20 ,
Vancouver Island University,2019-09-03,Bachelor of Arts in Criminology ,4,25000, Hiatus ,,
Douglas College,2020-09-08,Bachelor of Arts Child and Youth Care,1,6000, Attending ,,
College of the Rockies,1770-07-07,Fine Arts,1,, Hiatus ,,
Nicola Valley Institute of Technology,1770-07-07,,,, Never Attended ,,
Camosun College,2022-09-06,Associate of Arts Degree,2,15500,,,
Thompson Rivers University,1770-07-07,General Studies Diploma,,,,,
College of the Rockies,1770-07-07,Hairstylist,1,, Completed  ,,
BCIT,1770-07-07,Business,,, Never Attended ,,
Thompson Rivers University,2018-09-05,Bachelor of Social Work,4,24000, Attending ,,
Okanagan College,2020-09-08,Associate of Arts,2,8934, Attending ,,
College of New Caledonia,1770-07-07,Business Administration,,, Hiatus ,,
Camosun College,2018-09-04,University Transfer,2,, Attending ,,
Camosun College,2017-09-05,University Transfer,2,, Hiatus , Last attended 04/19 ,
Langara College,1770-07-07,General Education Diploma,,, Hiatus ,,
North Island College,2018-09-01,Early Childhood Education,,,,,
Vancouver Island University,1770-07-07,Adult Basic Education,,, Hiatus ,,
